patent_number,kind,type,provenance,title,assignee,matched_assignee,inventor,priority_date,filing_date,publication_date,grant_date,pdf,google_patents_url,abstract
US20230035620A1,A1,application,other_assignee, Neural network processor and method of neural network processing,Grai Matter Labs S.A.S.,Snap Inc,Amirreza YOUSEFZADEH,2019-12-17,2020-12-17,2023-02-02,,https://patentimages.storage.googleapis.com/4a/67/84/cfbb2e5a5e0bdd/US20230035620A1.pdf,https://patents.google.com/patent/US20230035620A1/en,"&hellip;  is reassigned as Q′. It is noted that in this case, wherein Q′ was set to the original binary state value, the reassignment of Q is superfluous, and can be skipped. Similarly it is not necessary to <b>assign</b> Q′ to Q in case it is determined that the quantized difference ΔX q is zero, so that sub-step S"
US20230071099A1,A1,application,snap_filed, Methods and systems for presentation of media collections with automated &hellip;,Snap Inc.,Snap Inc|Snapchat Inc,Jacob Andreou,2016-06-28,2022-10-14,2023-03-09,,https://patentimages.storage.googleapis.com/9d/95/8c/68a72143a48b18/US20230071099A1.pdf,https://patents.google.com/patent/US20230071099A1/en,"Systems, devices, media, instructions, and methods are provided for presentation of media collections with automated advertising. In one embodiment, display time data associated for a first plurality of content elements and a first advertising element as displayed on a first device are used in &hellip;"
US20230105981A1,A1,application,snap_filed, Messaging system with trend analysis of content,Snap Inc.,Snap Inc,Leonardo Ribas Machado das Neves,2020-04-24,2022-10-06,2023-04-06,,https://patentimages.storage.googleapis.com/b4/de/75/6f84be092e8423/US20230105981A1.pdf,https://patents.google.com/patent/US20230105981A1/en,A messaging system performs trend analysis on content produced by users of the messaging system. The messaging system is configured to extract modifications from content items received from client devices associated with users where the content items are modified using the modifications that &hellip;
US20230113024A1,A1,application,snap_filed, Configuring broadcast media quality within a virtual conferencing system,Snap Inc.,Snap Inc,Andrew Cheng-min Lin,2021-09-30,2022-09-27,2023-04-13,,https://patentimages.storage.googleapis.com/01/26/db/4cb22101e65fa6/US20230113024A1.pdf,https://patents.google.com/patent/US20230113024A1/en,"&hellip;  of the room based on the broadcast media quality set for each of the first and second participant video elements; and <b>assign</b>, for each participant, a participant video feed corresponding to the participant with a respective participant video element of the plural participant video elements."
US20230135808A1,A1,application,snap_filed," Generation, curation, and presentation of media collections",Snap Inc.,Snap Inc,Nicholas Richard Allen,2016-02-26,2022-12-29,2023-05-04,,https://patentimages.storage.googleapis.com/fa/4b/9a/b99bd5d4b45406/US20230135808A1.pdf,https://patents.google.com/patent/US20230135808A1/en,Systems and methods are provided for receiving input increasing a default predetermined window of time that the new media collection is accessible and activating the new media collection for the increased predetermined window of time and a geographic boundary size for where media content &hellip;
US20230185428A1,A1,application,snap_filed, Smart carousel of image modifiers,Snap Inc.,Snap Inc,Samir Ahmed,2016-11-22,2023-02-03,2023-06-15,,https://patentimages.storage.googleapis.com/6a/78/d9/0eed78da10922b/US20230185428A1.pdf,https://patents.google.com/patent/US20230185428A1/en,"Embodiments of the present disclosure relate generally to techniques for automated organization and presentation of user-selectable features within user interfaces. More particularly, but not by way of limitation, the present disclosure addresses systems and methods for presenting and accessing &hellip;"
US20230185431A1,A1,application,snap_filed, Client application content classification and discovery,Snap Inc.,Snap Inc,Nathan Kenneth Boyd,2020-05-28,2023-02-06,2023-06-15,,https://patentimages.storage.googleapis.com/ec/51/25/659af818a40f87/US20230185431A1.pdf,https://patents.google.com/patent/US20230185431A1/en,"In one or more implementations, content generated using a client application may be associated with a classification. The content may be accessed based on one or more classifications associated with the content. Content may be generated by a client application executed by a client device of a &hellip;"
US20230186377A1,A1,application,snap_filed, Customized virtual store,Snap Inc.,Snap Inc,Itamar Berger,2021-05-19,2023-01-17,2023-06-15,,https://patentimages.storage.googleapis.com/78/04/55/71a96a94b97658/US20230186377A1.pdf,https://patents.google.com/patent/US20230186377A1/en,"Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing a program and a method for performing operations comprising: receiving, from a client device of a first user, a request from the first user to engage in an AR shopping experience curated by a &hellip;"
US20230198791A1,A1,application,snap_filed, Group contact lists generation,Snap Inc.,Snap Inc,Ty Giacalone,2020-02-21,2023-02-10,2023-06-22,,https://patentimages.storage.googleapis.com/53/81/f1/985a8972209d7a/US20230198791A1.pdf,https://patents.google.com/patent/US20230198791A1/en,"In some examples, a computer-implemented method includes accessing a contact database of a sending user, the contact database includes a plurality of contact records, each contact record of the plurality of contact records being associated with a respective user and including respective graphic &hellip;"
US20230206669A1,A1,application,snap_filed, On-device two step approximate string matching,Snap Inc.,Snap Inc,Vasyl Pihur,2021-12-28,2021-12-28,2023-06-29,,https://patentimages.storage.googleapis.com/4f/17/15/cb4a1f4491419c/US20230206669A1.pdf,https://patents.google.com/patent/US20230206669A1/en,"According to certain embodiments, subsequent to generating the one or more bigrams, the fuzzy search system may <b>assign</b> a weight to each of the one or more skip bigrams, wherein the weight may be represented as λ k , where λ is the decay parameter and k is the order of the skip-bigram. In a case when &hellip;"
US20230208800A1,A1,application,snap_filed, Messaging system of partial and out-of-order events,Snap Inc.,Snap Inc,Bradley Baron,2020-03-31,2023-01-13,2023-06-29,,https://patentimages.storage.googleapis.com/89/ba/0d/3e3c16652aea62/US20230208800A1.pdf,https://patents.google.com/patent/US20230208800A1/en,"Methods, systems, and computer readable medium are provided for receiving an event message in a plurality of event messages, the event message comprising a sequence number and associated data, identifying the event message as an out-of-order event message based on the sequence number, assigning a &hellip;"
US20230215104A1,A1,application,snap_filed, Ar position and orientation along a plane,Snap Inc.,Snap Inc,Avilhay Assouline,2021-12-30,2021-12-30,2023-07-06,,https://patentimages.storage.googleapis.com/fb/c5/ce/864756485439c1/US20230215104A1.pdf,https://patents.google.com/patent/US20230215104A1/en,Aspects of the present disclosure involve a system for presenting AR items. The system performs operations including receiving a video that includes a depiction of one or more real-world objects in a real-world environment and obtaining depth data related to the real-world environment. The &hellip;
US20230222743A1,A1,application,snap_filed, Augmented reality anamorphosis system,Snap Inc.,Snap Inc,Piers Cowburn,2017-02-17,2023-03-08,2023-07-13,,https://patentimages.storage.googleapis.com/8b/6a/48/ad5977e84e042e/US20230222743A1.pdf,https://patents.google.com/patent/US20230222743A1/en,"In some example embodiments, users may generate and tag their own anamorphic media to locations. A user at a location may generate anamorphic media to be displayed in a space, and <b>assign</b> the anamorphic media to a position in the space. For example, the user may specify the position of the &hellip;"
US20230230292A1,A1,application,snap_filed, Object replacement system,Snap Inc.,Snap Inc,Viacheslav Ivanov,2022-01-19,2022-01-19,2023-07-20,,https://patentimages.storage.googleapis.com/d9/b5/d8/857c3360b86041/US20230230292A1.pdf,https://patents.google.com/patent/US20230230292A1/en,Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing a program and a method for performing operations comprising: receiving an image that includes a depiction of a real-world environment; processing the image to obtain data indicating presence of &hellip;
US20230239197A1,A1,application,snap_filed, User classification based notification,Snap Inc.,Snap Inc,Nathan Kenneth Boyd,2020-05-26,2023-03-30,2023-07-27,,https://patentimages.storage.googleapis.com/91/31/5f/842565a9de8f28/US20230239197A1.pdf,https://patents.google.com/patent/US20230239197A1/en,"14 . The system of claim 8 , wherein the user attribute includes a classification, and the designating the notification type to the portion of the list of user connections includes: receiving a request to <b>assign</b> the classification to the portion of the list of user connections. 15 . A non-transitory &hellip;"
US20230251767A1,A1,application,snap_filed, Messaging system for resurfacing content items,Snap Inc.,Snap Inc,Jonathan Dale Brody,2020-12-21,2023-04-19,2023-08-10,,https://patentimages.storage.googleapis.com/d1/3b/12/0a6efdf76c45bb/US20230251767A1.pdf,https://patents.google.com/patent/US20230251767A1/en,"in response to the user performing a second interaction with the content item, determining a second score to <b>assign</b> to the interaction and updating the resurface score associated with the content item with the second score, wherein the second score is determined to be higher when the second &hellip;"
US20230254275A1,A1,application,snap_filed, Prioritizing transmissions based on user engagement,Snap Inc.,Snap Inc,Joshua Schumacher,2020-03-03,2023-04-13,2023-08-10,,https://patentimages.storage.googleapis.com/e2/fb/f1/85f2c02e105648/US20230254275A1.pdf,https://patents.google.com/patent/US20230254275A1/en,Systems and methods are provided for transmitting events. The systems and methods include operations for: receiving data indicating a level of user engagement with a messaging application for a given user; determining that the level of user engagement is below a specified threshold; prioritizing a &hellip;
US20230290026A1,A1,application,snap_filed, Augmented reality anthropomorphization system,Snap Inc.,Snap Inc,Itamar Berger,2018-08-31,2023-05-19,2023-09-14,,https://patentimages.storage.googleapis.com/26/ab/c2/2cabf7ddfce290/US20230290026A1.pdf,https://patents.google.com/patent/US20230290026A1/en,"&hellip;  user to design and configure a media object to be displayed within the presentation of the space, upon the object. In further embodiments, the AR system may receive inputs that <b>assign</b> a set of media object features to one or more attributes of objects presented within the presentation of the space."
US20230305861A1,A1,application,snap_filed, Automated scaling of application features based on rules,Snap Inc.,Snap Inc,Michael Ronald Cieslak,2019-04-17,2023-05-19,2023-09-28,,https://patentimages.storage.googleapis.com/10/28/d9/142f03c6bded56/US20230305861A1.pdf,https://patents.google.com/patent/US20230305861A1/en,"Aspects of the present disclosure involve systems and methods for performing operations comprising providing a messaging application comprising a feature to a client device, the feature being implemented by operations having alternative complexity levels, wherein a first complexity level &hellip;"
US20230316333A1,A1,application,other_assignee, Determining targeting information based on a predictive targeting model,"Foursquare Labs, Inc.",Snap Inc,David Shim,2014-09-16,2023-04-07,2023-10-05,,https://patentimages.storage.googleapis.com/f6/0a/23/2750b282bfec43/US20230316333A1.pdf,https://patents.google.com/patent/US20230316333A1/en,"A targeting system based on a predictive targeting model based on observed behavioral data including visit data, user profile and/or survey data, and geographic features associated with a geographic region. The predictive targeting model analyzes the observed behavioral data and the geographic &hellip;"
US20230336691A1,A1,application,snap_filed, Configuring participant video feeds within a virtual conferencing system,Snap Inc.,Snap Inc,Andrew Cheng-min Lin,2021-03-30,2023-06-23,2023-10-19,,https://patentimages.storage.googleapis.com/1c/46/00/3ed844f360161e/US20230336691A1.pdf,https://patents.google.com/patent/US20230336691A1/en,"&hellip;  participants, display of the room based on the properties for the plural participant video elements; and <b>assign</b>, for each of the plural participants, a participant video feed corresponding to the participant with a respective participant video element of the plural participant video elements."
US20230360082A1,A1,application,snap_filed, Interactive advertising with media collections,Snap Inc.,Snap Inc,Jacob Andreou,2017-04-28,2023-07-14,2023-11-09,,https://patentimages.storage.googleapis.com/94/f7/c8/f9ed516da2cb6f/US20230360082A1.pdf,https://patents.google.com/patent/US20230360082A1/en,"Systems, devices, media, instructions, and methods are provided for presentation of media collections with automated interactive advertising. In one embodiment, a client device receives content elements for display as part of a content collection. Advertising data is also received for display &hellip;"
US20230394525A1,A1,application,snap_filed, Advertising futures marketplace methods and systems,Snap Inc.,Snap Inc,David SOLOFF,2007-11-02,2023-06-09,2023-12-07,,https://patentimages.storage.googleapis.com/b0/b7/b3/17609908fdae73/US20230394525A1.pdf,https://patents.google.com/patent/US20230394525A1/en,"Methods and systems provide information products relating to past, present and future advertising transactions (i.e., contracts to place advertisements in various media) to enable a marketplace in advertising products. Information regarding a plurality of advertising transactions are gathered."
US20230409158A1,A1,application,snap_filed, Standardized ar interfaces for iot devices,Sven Kratz,Snap Inc,Sven Kratz,2022-06-15,2022-06-15,2023-12-21,,https://patentimages.storage.googleapis.com/21/47/21/1f90725c6f60c1/US20230409158A1.pdf,https://patents.google.com/patent/US20230409158A1/en,"&hellip;  for use with the system are described. By utilizing a camera on various messaging or AR platforms, such as SNAPCHAT® or SPECTACLES™ available from <b>Snap, Inc</b>. of Santa Monica, California, users may create fun and immersive ways of interacting with IoT devices through the standardized AR interfaces."
US20230410450A1,A1,application,snap_filed, Beautification techniques for 3d data in a messaging system,Snap Inc.,Snap Inc,Kyle Goodrich,2019-08-28,2023-08-31,2023-12-21,,https://patentimages.storage.googleapis.com/6a/20/ee/861547250e8fe1/US20230410450A1.pdf,https://patents.google.com/patent/US20230410450A1/en,"The subject technology applies, to image data and depth data, a 3D effect including at least one beautification operation based on an augmented reality content generator, the 3D effect including a beautification operation, the beautification operation comprising modifying image data, the image &hellip;"
US20230412780A1,A1,application,snap_filed, Headware with computer and optical element for use therewith and systems &hellip;,Snap Inc.,Snapchat Inc,Erick Miller,2011-05-11,2023-08-30,2023-12-21,,https://patentimages.storage.googleapis.com/97/83/e0/75f75214e0c7b8/US20230412780A1.pdf,https://patents.google.com/patent/US20230412780A1/en,"An apparatus for mounting on a head including a frame, A face-wearable near-ocular optics and a micro-display for displaying data in front of the eyes is provided. A computing device is coupled to the micro-display. At least one sensor is coupled to the computing device for receiving biometric &hellip;"
US20240012550A1,A1,application,snap_filed, Providing bot participants within a virtual conferencing system,Snap Inc.,Snap Inc,Andrew Cheng-min Lin,2022-07-09,2023-03-28,2024-01-11,,https://patentimages.storage.googleapis.com/8a/79/b9/0507615da5a2ff/US20240012550A1.pdf,https://patents.google.com/patent/US20240012550A1/en,"Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing a program and method for providing bot participants for virtual conferencing. The program and method provide, in association with designing a virtual space, a first interface for configuring &hellip;"
US20240029302A1,A1,application,snap_filed, Depth-from-stereo bending correction using visual inertial odometry features,Snap Inc.,Snap Inc,Sagi Katz,2021-05-14,2023-09-27,2024-01-25,,https://patentimages.storage.googleapis.com/35/a7/7e/03eb215e4de1de/US20240029302A1.pdf,https://patents.google.com/patent/US20240029302A1/en,"A method for correcting a bending of a flexible device is described. In one aspect, the method includes accessing feature data of a first stereo frame that is generated by stereo optical sensors of the flexible device, the feature data generated based on a visual-inertial odometry (VIO) system of &hellip;"
US20240045727A1,A1,application,snap_filed, Core targeting in heterogeneous multiprocessor systems,Michael Cieslak,Snap Inc,Michael Cieslak,2019-05-30,2023-10-23,2024-02-08,,https://patentimages.storage.googleapis.com/91/a0/a4/daf582feb98908/US20240045727A1.pdf,https://patents.google.com/patent/US20240045727A1/en,", wherein the heterogeneous multiprocessor system is further configured to <b>assign</b> the processor core type based on the match with the predetermined values by assigning a first determined processor core type to the first processor core and a second determined processor core type to the second &hellip;"
US20240046516A1,A1,application,snap_filed, Estimating 3d scene representations of images,Titas Anciukevicius,Snap Inc|Snap Group,Titas Anciukevicius,2022-08-01,2023-07-31,2024-02-08,,https://patentimages.storage.googleapis.com/6e/d5/a7/758a56d605a2d9/US20240046516A1.pdf,https://patents.google.com/patent/US20240046516A1/en,"&hellip;  which takes a great deal of time and effort. Some systems discover such a decomposition automatically but rely on spatial mixtures to <b>assign</b> each point in space to an object without any explicit, controllable representation of object 3D positions, and therefore provide no control of a 3D scene."
US20240062752A1,A1,application,snap_filed, Grouping similar words in a language model,Snap Inc.,Snap Inc,Jackie Assa,2022-08-22,2022-08-22,2024-02-22,,https://patentimages.storage.googleapis.com/cb/15/e4/3e6c48388a2cdc/US20240062752A1.pdf,https://patents.google.com/patent/US20240062752A1/en,"Systems and methods are provided for performing automated speech recognition. The systems and methods access a LM that includes a plurality of n-grams, each of the plurality of n-grams comprising a respective sequence of words and corresponding LM score and receive a list of words associated with &hellip;"
US20240069626A1,A1,application,snap_filed, Timelapse re-experiencing system,Snap Inc.,Snap Inc,Rajan Vaish,2022-08-31,2022-08-31,2024-02-29,,https://patentimages.storage.googleapis.com/a8/cf/02/5f1eab889c4b9c/US20240069626A1.pdf,https://patents.google.com/patent/US20240069626A1/en,"A system captures via one or more sensors of a computing device, data of an environment observed by the one or more sensors at a first timeslot, and stores the data in a data store as a first portion of a timelapse memory experience. The system also captures, via the one or more sensors of a &hellip;"
US20240069708A1,A1,application,snap_filed, Collaborative interface element within a virtual conferencing system,Snap Inc.,Snap Inc,Andrew Cheng-min Lin,2022-08-31,2022-08-31,2024-02-29,,https://patentimages.storage.googleapis.com/5d/5a/0b/ee166d571d335f/US20240069708A1.pdf,https://patents.google.com/patent/US20240069708A1/en,"Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing a program and method for providing a collaborative interface element within a virtual conferencing system. The program and method provide, in association with designing a room, a first &hellip;"
US20240070044A1,A1,application,snap_filed, Staged release of updates with anomaly monitoring,Snap Inc.,Snap Inc,Michael Cieslak,2019-04-24,2023-11-03,2024-02-29,,https://patentimages.storage.googleapis.com/26/5f/13/73ef951fdb4429/US20240070044A1.pdf,https://patents.google.com/patent/US20240070044A1/en,", wherein the uninstalled feature comprises a plurality of uninstalled features, and wherein the system further comprises functions to: <b>assign</b> a rank to each of the plurality of uninstalled features, wherein the function to activate the installation of an uninstalled feature further comprises &hellip;"
US20240071004A1,A1,application,snap_filed, Social memory re-experiencing system,Snap Inc.,Snap Inc,Rajan Vaish,2022-08-31,2022-08-31,2024-02-29,,https://patentimages.storage.googleapis.com/d7/45/d4/9ee5a5638e06ff/US20240071004A1.pdf,https://patents.google.com/patent/US20240071004A1/en,"A system monitors a user environment via one or more sensors included in a computing device and detects, via a trigger, that event data is stored in a data store based on the monitoring. The system further detects one or more participants in the event data and invites the one or more participants &hellip;"
US20240086396A1,A1,application,snap_filed, Automatically estimating place data accuracy,Snap Inc.,Snap Inc,Christopher Shughrue,2022-02-09,2023-11-15,2024-03-14,,https://patentimages.storage.googleapis.com/24/be/c0/072d29efb3815a/US20240086396A1.pdf,https://patents.google.com/patent/US20240086396A1/en,"Once various attributes or a set of attributes associated with certain weights are determined to have a level of accuracy that is greater than a threshold, the system can <b>assign</b> a high level of confidence to the geographical area and can present an indicator of the high level of confidence in the &hellip;"
US20240103708A1,A1,application,snap_filed, Providing bot participants within a virtual conferencing system,Snap Inc.,Snap Inc,Andrew Cheng-min Lin,2022-07-09,2023-12-08,2024-03-28,,https://patentimages.storage.googleapis.com/77/f7/92/9a7f9a4924b405/US20240103708A1.pdf,https://patents.google.com/patent/US20240103708A1/en,"Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing a program and method for providing bot participants for virtual conferencing. The program and method provide, in association with designing a virtual space, a first interface for configuring &hellip;"
US20240104815A1,A1,application,snap_filed, Augmented expression system,Snap Inc.,Snap Inc,Chen Cao,2018-04-18,2023-12-04,2024-03-28,,https://patentimages.storage.googleapis.com/00/a4/ef/e9c13e4028f10c/US20240104815A1.pdf,https://patents.google.com/patent/US20240104815A1/en,"&hellip;  flattened presentation of the composite presentation, based on the image data and the 3D bitmoji. The user may <b>assign</b> or transmit the flattened presentation to one or more recipients (e.g., as a message or by adding the flattened presentation to a story associated with a user profile of the user). &hellip;"
US20240119678A1,A1,application,snap_filed, 9-dof object tracking,Snap Inc.,Snap Inc,Itamar Berger,2022-09-30,2022-09-30,2024-04-11,,https://patentimages.storage.googleapis.com/a6/9d/f8/7ad00dc2bc3bfe/US20240119678A1.pdf,https://patents.google.com/patent/US20240119678A1/en,Aspects of the present disclosure involve a system for presenting AR items. The system receives a video that includes a depiction of a real-world object in a real-world environment. The system generates a three-dimensional (3D) bounding box for the real-world object and stabilizes the 3D bounding &hellip;
US20240148296A1,A1,application,other_assignee, Management of psychiatric or mental conditions using digital reality with &hellip;,"BehaVR, LLC",Snap Inc,Roward Agulto,2022-10-13,2023-10-13,2024-05-09,,https://patentimages.storage.googleapis.com/f3/e8/1e/a8926ccfde2e84/US20240148296A1.pdf,https://patents.google.com/patent/US20240148296A1/en,"Systems, methods, and devices for implementing cognitive behavioral therapy to help a subject to manage a psychiatric or mental condition of the subject are provided. Interactive digital reality (DR) activities are provided through an interactive DR scene, each configured for a subject to practice &hellip;"
US20240153049A1,A1,application,snap_filed, Location mapping for large scale augmented-reality,Snap Inc.,Snap Inc,Richard McCormack,2020-03-27,2024-01-17,2024-05-09,,https://patentimages.storage.googleapis.com/a0/82/e1/4db120700ec095/US20240153049A1.pdf,https://patents.google.com/patent/US20240153049A1/en,"&hellip;  location data of the data object. For example, the point cloud module 306 may <b>assign</b> the point cloud to a geo-fence that encompasses a location. In some embodiments, assigning the point cloud to a location may include aligning the point cloud with a location based on landmarks within the location. &hellip;"
US20240205036A1,A1,application,snap_filed, Shared augmented reality experience in video chat,Snap Inc.,Snap Inc,Nathan Richard Banks,2022-04-25,2024-02-27,2024-06-20,,https://patentimages.storage.googleapis.com/2f/ac/eb/02ba6b2335b81e/US20240205036A1.pdf,https://patents.google.com/patent/US20240205036A1/en,"Methods and systems are disclosed for performing operations for providing a shared augmented reality experience in a video chat. A video chat can be established between a plurality of client devices. During the video chat, videos of users associated with the client devices can be displayed. During &hellip;"
US20240220830A1,A1,application,snap_filed, Neighborhood-based link prediction for recommendation systems,Hao-Ming Fu,Snap Inc,Hao-Ming Fu,2022-12-29,2022-12-29,2024-07-04,,https://patentimages.storage.googleapis.com/9d/51/f7/0ca467ea88b6aa/US20240220830A1.pdf,https://patents.google.com/patent/US20240220830A1/en,A recommendation system implements a linkage (connectivity) score learning algorithm for user-item interaction bipartite graphs that is combined with a lightweight iterative degree update process in the bipartite graph where the degrees used in the scoring formula are updated several times to &hellip;
US20240243937A1,A1,application,snap_filed, Configuring 360-degree video within a virtual conferencing system,Snap Inc.,Snap Inc,Andrew Cheng-min Lin,2021-09-30,2024-03-29,2024-07-18,,https://patentimages.storage.googleapis.com/35/66/2a/2b7f18781f35e8/US20240243937A1.pdf,https://patents.google.com/patent/US20240243937A1/en,"Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing a program and method for configuring 360-degree video within a virtual conferencing system. The program and method provide, in association with designing a room for virtual conferencing, a &hellip;"
US20240249318A1,A1,application,snap_filed, Determining user intent from chatbot interactions,Evan Spiegel,Snap Inc|Snapchat Inc,Evan Spiegel,2023-01-24,2024-01-23,2024-07-25,,https://patentimages.storage.googleapis.com/f6/6f/5e/213d9cae3de1c8/US20240249318A1.pdf,https://patents.google.com/patent/US20240249318A1/en,A system and method for determining user intent and providing targeted advertising using chatbot interactions is disclosed. The system receives user prompts during chat sessions with a chatbot and generates responses using a large language model. User intent is extracted by analyzing the chat &hellip;
US20240267344A1,A1,application,snap_filed, Chatbot for interactive platforms,William Spencer Mulligan,Snap Inc,William Spencer Mulligan,2023-02-06,2024-02-05,2024-08-08,,https://patentimages.storage.googleapis.com/e7/2d/52/24dbd414aaadfc/US20240267344A1.pdf,https://patents.google.com/patent/US20240267344A1/en,"A chatbot system for filtering conversation content. A chatbot system receives, from a client system, a prompt of a user during an interactive session. The chatbot system filters the prompt of the user based on a set of platform policies and generates a response based on the filtering of the &hellip;"
US20240273613A1,A1,application,snap_filed, Browsing-based augmented reality try-on experience,Snap Inc.,Snap Inc,Matan Zohar,2023-02-09,2023-02-09,2024-08-15,,https://patentimages.storage.googleapis.com/dc/04/0c/62314dd85ec5b5/US20240273613A1.pdf,https://patents.google.com/patent/US20240273613A1/en,"Aspects of the present disclosure involve a system for providing a browsing-based augmented reality (AR) try-on experience. The system displays a graphical user interface (GUI) comprising a set of fashion items. The system receives a real-time video feed from a camera of the device, the real-time &hellip;"
US20240282058A1,A1,application,snap_filed, Generating user interfaces displaying augmented reality graphics,Snap Inc.,Snap Inc,Sharon Moll,2023-02-21,2023-02-21,2024-08-22,,https://patentimages.storage.googleapis.com/44/f0/0f/82eff04be3b2de/US20240282058A1.pdf,https://patents.google.com/patent/US20240282058A1/en,An Augmented Reality (AR) graphics system is provided. The AR graphics system may coordinate the display of augmented reality graphics created by multiple users located in an environment. The AR graphics system may determine an alignment object located in the environment that is designated as a &hellip;
US20240296640A1,A1,application,snap_filed, Applying pregenerated virtual experiences in new location,Snap Inc.,Snap Inc,Gal Dudovitch,2022-06-23,2024-05-15,2024-09-05,,https://patentimages.storage.googleapis.com/ab/dc/69/4cfe5977189e03/US20240296640A1.pdf,https://patents.google.com/patent/US20240296640A1/en,"Aspects of the present disclosure involve a system for providing virtual experiences. The system performs operations including selecting, by a messaging application, a virtual experience that represents a previously captured real-world environment at a first location; accessing an image &hellip;"
US20240331265A1,A1,application,snap_filed, Semantic texture mapping system,Snap Inc.,Snap Inc,Piers George Cowburn,2019-04-01,2024-06-11,2024-10-03,,https://patentimages.storage.googleapis.com/96/fd/35/6e0d1df1d8abf6/US20240331265A1.pdf,https://patents.google.com/patent/US20240331265A1/en,"A semantic texture map system to generate a semantic texture map based on a 3D model that comprises a plurality of vertices that include coordinate that indicate positions of the plurality of vertices, a UV map, and a semantic segmentation image that comprises a set of semantic labels."
US20240353976A1,A1,application,snap_filed, Ranking augmented reality content based on messaging contacts,Snap Inc.,Snap Inc,Mariya Apanovych,2020-03-26,2024-07-02,2024-10-24,,https://patentimages.storage.googleapis.com/8e/56/b8/9c7f8b499b5101/US20240353976A1.pdf,https://patents.google.com/patent/US20240353976A1/en,"Aspects of the present disclosure involve ranking augmented reality content. The program and method provide for receiving, by a messaging application, a request from a first user to compose a message for sending to a preselected second user, the message being configured to include an image &hellip;"
US20240354836A1,A1,application,snap_filed, Vr-based connected portal shopping,Snap Inc.,Snap Inc,Itamar Berger,2021-05-19,2024-07-01,2024-10-24,,https://patentimages.storage.googleapis.com/99/95/12/14822706e21a1e/US20240354836A1.pdf,https://patents.google.com/patent/US20240354836A1/en,Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing programs and methods for performing operations comprising: receiving a request from a client device of a first user to engage in a shared virtual reality shopping experience with a second user;
US20240356879A1,A1,application,snap_filed, Contextual generation and selection of customized media content,Snap Inc.,Snap Inc,Jacob Edward Blackstock,2017-01-09,2024-07-01,2024-10-24,,https://patentimages.storage.googleapis.com/f1/ce/bf/61b29d626d738b/US20240356879A1.pdf,https://patents.google.com/patent/US20240356879A1/en,"Among other things, embodiments of the present disclosure improve the functionality of electronic messaging software and systems by generating and selecting customized media content items (such as images) with avatars of different users within electronic messages based on the context of &hellip;"
US20240370159A1,A1,application,snap_filed, Augmented reality mood board,Snap Inc.,Snap Inc,Luke Cartwright,2023-05-04,2023-05-04,2024-11-07,,https://patentimages.storage.googleapis.com/e6/ea/69/f9d21b1e0cfdfe/US20240370159A1.pdf,https://patents.google.com/patent/US20240370159A1/en,"&hellip;  this context an “augmented reality effect” comprises the collection of data, parameters, and other assets used to apply a selected augmented reality experience to an image or a video feed. In some examples, augmented reality effects are provided by <b>Snap, Inc</b>. under the registered trademark LENSES."
US20240393887A1,A1,application,snap_filed, Micro hand gestures for controlling virtual and graphical elements,Snap Inc.,Snap Inc,Ilteris Canberk,2020-12-29,2024-08-08,2024-11-28,,https://patentimages.storage.googleapis.com/92/79/5d/7ec3653a083039/US20240393887A1.pdf,https://patents.google.com/patent/US20240393887A1/en,"<b>assign</b> a display order to the series of virtual elements; and present on the display the next virtual element according to the display order. 10 . The system of claim 8 , wherein the execution of the programming further configures the eyewear device to: <b>assign</b> a display order to the series of virtual &hellip;"
US20240404142A1,A1,application,snap_filed, Presentation of media content as memories,Snap Inc.,Snap Inc,Nathan Kenneth Boyd,2023-06-02,2023-06-02,2024-12-05,,https://patentimages.storage.googleapis.com/c9/37/8c/66088ba6e1c2be/US20240404142A1.pdf,https://patents.google.com/patent/US20240404142A1/en,retrieve a second set of media content captured by the interaction client included in the client device; <b>assign</b> the first set of media content a first ranking value; <b>assign</b> the second set of media content a second ranking value; create a first visual representation of the first set of media content &hellip;
US20240406477A1,A1,application,snap_filed, Machine learning model continuous training system,Snap Inc.,Snap Inc,Kevin Sarabia Dela Rosa,2023-05-31,2023-05-31,2024-12-05,,https://patentimages.storage.googleapis.com/7d/80/aa/848cc7684d513d/US20240406477A1.pdf,https://patents.google.com/patent/US20240406477A1/en,"Described is a system for performing a set of machine learning model training operations that include: accessing media content items associated with interaction functions initiated by users of an interaction system, generating training data including labels for the media content items, extracting &hellip;"
